D,L,M,M*L,variant,method,iteration,test_loss_diff,test_loss_diff_std,train_loss_diff,train_loss_diff_std
10,4,8,32,stochastic_depth,dropout,25,0.023832953,0.007826346,0.06442009,0.01711598
10,4,8,32,stochastic_depth,dropout,26,0.027579546,0.00821251,0.081016704,0.041701663
10,4,8,32,stochastic_depth,dropout,27,0.031698287,0.008329233,0.08098147,0.07618086
10,4,8,32,stochastic_depth,dropout,28,0.036833953,0.009301621,0.05904857,0.045439932
10,4,8,32,stochastic_depth,dropout,29,0.04136427,0.009210096,0.06518866,0.034739736
10,4,8,32,stochastic_depth,dropout,30,0.04556837,0.009307407,0.081517145,0.042294007
10,4,8,32,stochastic_depth,dropout,31,0.051126577,0.00798084,0.062410206,0.0783467
10,4,8,32,stochastic_depth,dropout,32,0.05687367,0.007981138,0.05116505,0.033310004
10,4,8,32,stochastic_depth,dropout,33,0.060709316,0.008545907,0.16505763,0.1146963
10,4,8,32,stochastic_depth,dropout,34,0.064461984,0.006946139,0.04615534,0.02650819
10,4,8,32,stochastic_depth,dropout,35,0.06822108,0.0066876276,0.10330975,0.058720227
10,4,8,32,stochastic_depth,dropout,36,0.07404299,0.0093598645,0.11708929,0.09485316
10,4,8,32,stochastic_depth,dropout,37,0.0737739,0.00987128,0.057884037,0.035135835
10,4,8,32,stochastic_depth,dropout,38,0.07245474,0.00967061,0.12865356,0.09059155
10,4,8,32,stochastic_depth,dropout,39,0.07150869,0.012726544,0.13637498,0.11156381
10,4,8,32,stochastic_depth,dropout,40,0.07019783,0.012736094,0.15620033,0.09917405
10,4,8,32,stochastic_depth,dropout,41,0.07209064,0.011610026,0.111483715,0.10416705
10,4,8,32,stochastic_depth,dropout,42,0.0725279,0.011507068,0.060263194,0.0371017
10,4,8,32,stochastic_depth,dropout,43,0.06962114,0.015047962,0.20695858,0.111522414
10,4,8,32,stochastic_depth,dropout,44,0.06829729,0.01114137,0.21300665,0.17469867
10,4,8,32,stochastic_depth,dropout,45,0.066611156,0.0057976553,0.09060019,0.057355184
10,4,8,32,stochastic_depth,dropout,46,0.05926072,0.007960405,0.090471074,0.098535836
10,4,8,32,stochastic_depth,dropout,47,0.059094895,0.0037901916,0.030805986,0.022311969
10,4,8,32,stochastic_depth,dropout,48,0.0621409,0.011858561,0.095334575,0.08170425
10,4,8,32,stochastic_depth,dropout,49,0.060559474,0.01571302,0.11015042,0.03445648
10,4,8,32,single_source_M,dropout,0,0.0001958847,0.00017487348,0.009783101,0.010820504
10,4,8,32,single_source_M,dropout,1,0.0002702117,0.0002136916,0.012725651,0.0040805168
10,4,8,32,single_source_M,dropout,2,0.0007372856,0.0005774025,0.01414299,0.008949067
10,4,8,32,single_source_M,dropout,3,0.00091494323,0.0006144818,0.0043014647,0.002061455
10,4,8,32,single_source_M,dropout,4,0.0008900523,0.00068246847,0.010081792,0.005226654
10,4,8,32,single_source_M,dropout,5,0.001008153,0.0007312886,0.012333298,0.0057401904
10,4,8,32,single_source_M,dropout,6,0.0012080192,0.0010001222,0.013030303,0.0074729878
10,4,8,32,single_source_M,dropout,7,0.0013187528,0.001176382,0.019338703,0.017214047
10,4,8,32,single_source_M,dropout,8,0.0014040113,0.001297564,0.020241965,0.011904419
10,4,8,32,single_source_M,dropout,9,0.0019818067,0.0013164696,0.013339544,0.008624166
10,4,8,32,single_source_M,dropout,10,0.0014903664,0.0010989169,0.02414465,0.009788824
10,4,8,32,single_source_M,dropout,11,0.0018250704,0.0009989812,0.026348079,0.011439551
10,4,8,32,single_source_M,dropout,12,0.0025345802,0.0017066653,0.023991382,0.016271034
10,4,8,32,single_source_M,dropout,13,0.0030353428,0.0020809674,0.018467437,0.008585694
10,4,8,32,single_source_M,dropout,14,0.0036107064,0.002568823,0.01537658,0.009940969
10,4,8,32,single_source_M,dropout,15,0.004348862,0.0033775992,0.010082781,0.004354567
10,4,8,32,single_source_M,dropout,16,0.0045401216,0.0027928264,0.025399555,0.013594844
10,4,8,32,single_source_M,dropout,17,0.005772388,0.003164472,0.028338766,0.018475419
10,4,8,32,single_source_M,dropout,18,0.007905078,0.0044180313,0.023862671,0.024649898
10,4,8,32,single_source_M,dropout,19,0.008413851,0.005074989,0.03596852,0.02437457
10,4,8,32,single_source_M,dropout,20,0.00893029,0.005340105,0.024748981,0.013713794
10,4,8,32,single_source_M,dropout,21,0.009813106,0.0051381523,0.057046317,0.01996169
10,4,8,32,single_source_M,dropout,22,0.0102713825,0.0064935307,0.035088934,0.01328743
10,4,8,32,single_source_M,dropout,23,0.0119906785,0.006393066,0.03534212,0.041990057
10,4,8,32,single_source_M,dropout,24,0.012135362,0.0074645164,0.041647483,0.01320448
10,4,8,32,single_source_M,dropout,25,0.012906325,0.007431662,0.05149783,0.03093663
10,4,8,32,single_source_M,dropout,26,0.014592159,0.008256262,0.047331415,0.018862199
10,4,8,32,single_source_M,dropout,27,0.01572442,0.0087283235,0.057887577,0.0363357
10,4,8,32,single_source_M,dropout,28,0.018627156,0.009032904,0.06863193,0.041036587
10,4,8,32,single_source_M,dropout,29,0.020594347,0.008000681,0.035626363,0.020101175
10,4,8,32,single_source_M,dropout,30,0.02269433,0.0070162937,0.088136554,0.03180903
10,4,8,32,single_source_M,dropout,31,0.027170766,0.008591866,0.08314612,0.050319232
10,4,8,32,single_source_M,dropout,32,0.027706886,0.008911028,0.06538172,0.040476672
10,4,8,32,single_source_M,dropout,33,0.029414397,0.010072689,0.045022625,0.023803493
10,4,8,32,single_source_M,dropout,34,0.030200804,0.011739,0.04697456,0.0336514
10,4,8,32,single_source_M,dropout,35,0.032217465,0.014972203,0.03481378,0.03663405
10,4,8,32,single_source_M,dropout,36,0.030514717,0.01470552,0.10270417,0.060225666
10,4,8,32,single_source_M,dropout,37,0.03704389,0.020281076,0.059975892,0.043554455
10,4,8,32,single_source_M,dropout,38,0.035971843,0.019065503,0.12812436,0.089866094
10,4,8,32,single_source_M,dropout,39,0.035424076,0.0186002,0.13950518,0.12397159
10,4,8,32,single_source_M,dropout,40,0.035931595,0.013057135,0.07850028,0.049056847
10,4,8,32,single_source_M,dropout,41,0.037992276,0.0148890875,0.05653156,0.053390417
10,4,8,32,single_source_M,dropout,42,0.03388689,0.010990779,0.05776324,0.055738863
10,4,8,32,single_source_M,dropout,43,0.040888317,0.014759492,0.089053296,0.055807408
10,4,8,32,single_source_M,dropout,44,0.038408928,0.014206663,0.123458244,0.097061664
10,4,8,32,single_source_M,dropout,45,0.036648024,0.017007336,0.13307874,0.07047156
